Desa,URL,lonngitude,latitude,Kecamatan,Kabupaten/Kota,Provinsi
PANUNDAAN,panundaan.desa.id,107.440124,-7.120412,Ciwidey,Bandung,Jawa Barat
CIWIDEY,ciwidey.desa.id,107.45631,-7.105863,Ciwidey,Bandung,Jawa Barat
PANYOCOKAN,panyocokan.desa.id,107.457924,-7.086463,Ciwidey,Bandung,Jawa Barat
LEBAKMUNCANG,lebakmuncang.desa.id,107.430053,-7.101418,Ciwidey,Bandung,Jawa Barat
RAWABOGO,rawabogo.desa.id,107.442234,-7.059138,Ciwidey,Bandung,Jawa Barat
NENGKELAN,negkelan.desa.id,107.46471,-7.063518,Ciwidey,Bandung,Jawa Barat
SUKAWENING,sukawening.desa.id,107.475964,-7.069168,Ciwidey,Bandung,Jawa Barat
CIPELAH,cipelah.desa.id,107.286617,-7.162106,Rancabali,Bandung,Jawa Barat
SUKARESMI,sukaresmi-rancabali.desa.id,107.341209,-7.162685,Rancabali,Bandung,Jawa Barat
INDRAGIRI,indragiri.desa.id,107.353649,-7.114093,Rancabali,Bandung,Jawa Barat
PATENGAN,patengan.desa.id,107.389171,-7.148774,Rancabali,Bandung,Jawa Barat
ALAMENDAH,alamendah.desa.id,107.424011,-7.145632,Rancabali,Bandung,Jawa Barat
SUGIHMUKTI,sugihmukti.desa.id,107.407795,-7.19077,Pasirjambu,Bandung,Jawa Barat
MARGAMULYA,margamulya.desa.id,107.460441,-7.133406,Pasirjambu,Bandung,Jawa Barat
TENJOLAYA,tenjolaya-pasirjambu.desa.id,107.481033,-7.17709,Pasirjambu,Bandung,Jawa Barat
CISONDARI,cisondari.desa.id,107.480286,-7.093101,Pasirjambu,Bandung,Jawa Barat
MEKARSARI,mekarsari.desa.id,107.505489,-7.141027,Pasirjambu,Bandung,Jawa Barat
CIBODAS,cibodas.desa.id,107.511673,-7.102233,Pasirjambu,Bandung,Jawa Barat
CUKANGGENTENG,cukanggenteng.desa.id,107.502395,-7.074721,Pasirjambu,Bandung,Jawa Barat
PASIRJAMBU,pasirjambu.desa.id,107.48674,-7.088757,Pasirjambu,Bandung,Jawa Barat
MEKARMAJU,mekarmaju.desa.id,107.476154,-7.091674,Pasirjambu,Bandung,Jawa Barat
CIKONENG,cikoneng.desa.id,107.482475,-7.064575,Pasirjambu,Bandung,Jawa Barat
CIKALONG,cikalong.desa.id,107.560558,-7.115803,Cimaung,Bandung,Jawa Barat
MEKARSARI ,mekarsari-cimaung.desa.id,107.610531,-7.125114,Cimaung,Bandung,Jawa Barat
CIPINANG,cipinang.desa.id,107.558487,-7.105562,Cimaung,Bandung,Jawa Barat
CIMAUNG,cimaung.desa.id,107.572639,-7.101701,Cimaung,Bandung,Jawa Barat
CAMPAKAMULYA,campakamulya.desa.id,107.594334,-7.105829,Cimaung,Bandung,Jawa Barat
PASIRHUNI,pasirhuni.desa.id,107.575977,-7.085813,Cimaung,Bandung,Jawa Barat
JAGABAYA,jagabaya.desa.id,107.562679,-7.072114,Cimaung,Bandung,Jawa Barat
MALASARI ,malasari-cimaung.desa.id,107.540538,-7.083242,Cimaung,Bandung,Jawa Barat
SUKAMAJU,sukamaju-bandung.desa.id,107.531974,-7.109825,Cimaung,Bandung,Jawa Barat
WARJABAKTI,warjabakti.desa.id,107.566,-7.128,Cimaung,Bandung,Jawa Barat
WANASUKA,,107.566,-7.128,Pangalengan,Bandung,Jawa Barat
BANJARSARI,,107.59571,-7.236889,Pangalengan,Bandung,Jawa Barat
MARGALUYU,margaluyu.desa.id,107.559986,-7.224268,Pangalengan,Bandung,Jawa Barat
SUKALUYU,,107.520336,-7.219053,Pangalengan,Bandung,Jawa Barat
WARNASARI,warnasari.desa.id,107.523163,-7.17949,Pangalengan,Bandung,Jawa Barat
PULOSARI,pulosari.desa.id,107.5396,-7.168702,Pangalengan,Bandung,Jawa Barat
MARGAMEKAR,,107.574928,-7.188449,Pangalengan,Bandung,Jawa Barat
SUKAMANAH,sukamanah-pangalengan.desa.id,107.594344,-7.190618,Pangalengan,Bandung,Jawa Barat
MARGAMUKTI,margamukti.desa.id,107.610069,-7.182963,Pangalengan,Bandung,Jawa Barat
PANGALENGAN,pangalengan.desa.id,107.610109,-7.163416,Pangalengan,Bandung,Jawa Barat
MARGAMULYA,,107.585212,-7.158166,Pangalengan,Bandung,Jawa Barat
TRIBAKTIMULYA,,107.59325,-7.141364,Pangalengan,Bandung,Jawa Barat
LAMAJANG,,107.542179,-7.123632,Pangalengan,Bandung,Jawa Barat
NEGLAWANGI,neglawangi.desa.id,107.69474,-7.275229,Kertasari,Bandung,Jawa Barat
SANTOSA,santosa.desa.id,107.635406,-7.270023,Kertasari,Bandung,Jawa Barat
TARUMAJAYA,tarumajaya.desa.id,107.66674,-7.229394,Kertasari,Bandung,Jawa Barat
CIKEMBANG,cikembang.desa.id,107.688709,-7.211685,Kertasari,Bandung,Jawa Barat
CIBEUREUM,cibeureum.desa.id,107.657497,-7.18952,Kertasari,Bandung,Jawa Barat
CIHAWUK,cihawuk.desa.id,107.70504,-7.199879,Kertasari,Bandung,Jawa Barat
SUKAPURA,sukapura-kertasari.desa.id,107.683044,-7.164603,Kertasari,Bandung,Jawa Barat
Resmi Tingal,resmi tingal.desa.id,107.683044,-7.164603,Kertasari,Bandung,Jawa Barat
CIKITU,cikitu.desa.id,107.692182,-7.142642,Pacet,Bandung,Jawa Barat
GIRIMULYA,girimulya.desa.id,107.672092,-7.156669,Pacet,Bandung,Jawa Barat
SUKARAME,sukarame-pacet.desa.id,107.716144,-7.161855,Pacet,Bandung,Jawa Barat
CIKAWAO,cikawao.desa.id,107.730129,-7.115849,Pacet,Bandung,Jawa Barat
NAGRAK,nagrak.desa.id,107.720043,-7.11621,Pacet,Bandung,Jawa Barat
MANDALAHAJI,mandalahaji.desa.id,107.707162,-7.11854,Pacet,Bandung,Jawa Barat
MARUYUNG,maruyung.desa.id,107.696606,-7.106769,Pacet,Bandung,Jawa Barat
PANGAUBAN,pangauban.desa.id,107.664165,-7.139962,Pacet,Bandung,Jawa Barat
CINANGGELA,cinanggela.desa.id,107.658348,-7.131857,Pacet,Bandung,Jawa Barat
MEKARJAYA,mekarjaya.desa.id,107.663811,-7.117605,Pacet,Bandung,Jawa Barat
MEKARSARI,mekarsari-pacet.desa.id,107.698973,-7.093209,Pacet,Bandung,Jawa Barat
CIPEUJEUH,cipeujeuh.desa.id,107.704791,-7.094505,Pacet,Bandung,Jawa Barat
TANJUNGWANGI,tanjungwangi-pacet.desa.id,107.714138,-7.091851,Pacet,Bandung,Jawa Barat
NEGLASARI,neglasari.desa.id,107.741415,-7.141203,Ibun,Bandung,Jawa Barat
DUKUH,dukuh.desa.id,107.749969,-7.135469,Ibun,Bandung,Jawa Barat
IBUN,ibun.desa.id,107.760338,-7.129879,Ibun,Bandung,Jawa Barat
LAKSANA,laksana.desa.id,107.779896,-7.132247,Ibun,Bandung,Jawa Barat
MEKARWANGI,mekarwangi-ibun.desa.id,107.772392,-7.106945,Ibun,Bandung,Jawa Barat
SUDI,sudi.desa.id,107.771091,-7.08656,Ibun,Bandung,Jawa Barat
CIBEET,cibeet.desa.id,107.754051,-7.095347,Ibun,Bandung,Jawa Barat
PANGGUH,pangguh.desa.id,107.740055,-7.10438,Ibun,Bandung,Jawa Barat
KARYALAKSANA,karyalaksana.desa.id,107.744541,-7.088761,Ibun,Bandung,Jawa Barat
LAMPEGAN,lampegan-ibun.desa.id,107.748514,-7.08058,Ibun,Bandung,Jawa Barat
TALUN,talun.desa.id,107.762516,-7.075882,Ibun,Bandung,Jawa Barat
TANGGULUN,tanggulun.desa.id,107.756871,-7.069692,Ibun,Bandung,Jawa Barat
LOA,loa.desa.id,107.792633,-7.107722,Paseh,Bandung,Jawa Barat
DRAWATI,drawati.desa.id,107.804829,-7.081416,Paseh,Bandung,Jawa Barat
CIPAKU,cipaku.desa.id,107.781448,-7.064669,Paseh,Bandung,Jawa Barat
SINDANGSARI,sindangsari.desa.id,107.777471,-7.072394,Paseh,Bandung,Jawa Barat
SUKAMANTRI,sukamantri.desa.id,107.768207,-7.061034,Paseh,Bandung,Jawa Barat
SUKAMANAH,sukamanah-paseh.desa.id,107.765338,-7.048601,Paseh,Bandung,Jawa Barat
MEKARPAWITAN,mekarpawitan.desa.id,107.775505,-7.03924,Paseh,Bandung,Jawa Barat
CIJAGRA,cijagra.desa.id,107.775896,-7.035685,Paseh,Bandung,Jawa Barat
TANGSIMEKAR,tangsimekar.desa.id,107.776977,-7.029091,Paseh,Bandung,Jawa Barat
CIPEDES,cipedes.desa.id,107.784712,-7.029633,Paseh,Bandung,Jawa Barat
KARANGTUNGGAL,karangtunggal.desa.id,107.791837,-7.051013,Paseh,Bandung,Jawa Barat
CIGENTUR,cigentur.desa.id,107.786136,-7.019929,Paseh,Bandung,Jawa Barat
SRIRAHAYU,srirahayu.desa.id,107.801794,-7.054929,Cikancung,Bandung,Jawa Barat
CILULUK,ciluluk.desa.id,107.804203,-7.038097,Cikancung,Bandung,Jawa Barat
MEKARLAKSANA,mekarlaksana-cikancung.desa.id,107.825527,-7.065618,Cikancung,Bandung,Jawa Barat
CIHANYIR,cihanyir.desa.id,107.811931,-7.032851,Cikancung,Bandung,Jawa Barat
CIKANCUNG,cikancung.desa.id,107.826847,-7.040069,Cikancung,Bandung,Jawa Barat
MANDALASARI,mandalasari.desa.id,107.826847,-7.040069,Cikancung,Bandung,Jawa Barat
HEGARMANAH,hegarmanah-cikancung.desa.id,107.820866,-7.011346,Cikancung,Bandung,Jawa Barat
CIKASUNGKA,cikasungka.desa.id,107.811908,-7.013017,Cikancung,Bandung,Jawa Barat
TANJUNGLAYA,tanjunglaya.desa.id,107.802845,-7.004793,Cikancung,Bandung,Jawa Barat
NAGROG,nagrog.desa.id,107.863373,-7.001113,Cicalengka,Bandung,Jawa Barat
NARAWITA,narawita.desa.id,107.8446,-7.029436,Cicalengka,Bandung,Jawa Barat
MARGAASIH,margaasih-cicalengka.desa.id,107.839973,-7.018341,Cicalengka,Bandung,Jawa Barat
CICALENGKA WETAN,cicalengkawetan.desa.id,107.840743,-7.00182,Cicalengka,Bandung,Jawa Barat
CIKUYA,cikuya.desa.id,107.833776,-7.003326,Cicalengka,Bandung,Jawa Barat
WALUYA,waluya.desa.id,107.833776,-7.003326,Cicalengka,Bandung,Jawa Barat
PANENJOAN,panenjoan.desa.id,107.815815,-6.975701,Cicalengka,Bandung,Jawa Barat
TENJOLAYA,tenjolaya-cicalengka.desa.id,107.836258,-6.98247,Cicalengka,Bandung,Jawa Barat
CICALENGKA KULON,cicalengkakulon.desa.id,107.836258,-6.98247,Cicalengka,Bandung,Jawa Barat
BABAKANPEUTEUY,babakanpeuteuy.desa.id,107.849625,-6.991004,Cicalengka,Bandung,Jawa Barat
DAMPIT,dampit.desa.id,107.857237,-6.974957,Cicalengka,Bandung,Jawa Barat
TANJUNGWANGI,tanjungwangi-cicalengka.desa.id,107.893476,-6.969566,Cicalengka,Bandung,Jawa Barat
MANDALAWANGI,mandalawangi-nagreg.desa.id,107.851261,-7.038352,Nagreg,Bandung,Jawa Barat
BOJONG,bojong-nagreg.desa.id,107.866317,-7.039678,Nagreg,Bandung,Jawa Barat
CIHERANG,ciherang-nagreg.desa.id,107.890377,-7.032489,Nagreg,Bandung,Jawa Barat
CIARO,ciaro.desa.id,107.913593,-7.040175,Nagreg,Bandung,Jawa Barat
NAGREG,nagreg.desa.id,107.889919,-7.011486,Nagreg,Bandung,Jawa Barat
CITAMAN,citaman.desa.id,107.880287,-7.009495,Nagreg,Bandung,Jawa Barat
GANJAR SABAR,ganjarsabar.desa.id,107.876664,-7.013774,Nagreg,Bandung,Jawa Barat
KENDAN,nagregkendan.desa.id,107.895357,-7.012784,Nagreg,Bandung,Jawa Barat
SUKAMANAH,sukamanah-rancaekek.desa.id,107.724476,-6.99314,Rancaekek,Bandung,Jawa Barat
TEGALSUMEDANG,tegalsumedang.desa.id,107.716129,-6.981577,Rancaekek,Bandung,Jawa Barat
RANCAEKEK KULON,rancaekekkulon.desa.id,107.738605,-6.974466,Rancaekek,Bandung,Jawa Barat
RANCAEKEK WETAN,rancaekekwetan.desa.id,107.747962,-6.9693,Rancaekek,Bandung,Jawa Barat
BOJONGLOA,bojongload.desa.id,107.753937,-6.977509,Rancaekek,Bandung,Jawa Barat
JELEGONG,bojongsalam.desa.id,107.764087,-6.980484,Rancaekek,Bandung,Jawa Barat
LINGGAR,linggar.desa.id,107.7747368,-6.9747786,Rancaekek,Bandung,Jawa Barat
SUKAMULYA,sukamulya-rancaekek.desa.id,107.776049,-6.990207,Rancaekek,Bandung,Jawa Barat
HAURPUGUR,haurpugur.desa.id,107.77911,-6.993786,Rancaekek,Bandung,Jawa Barat
SANGIANG,sangiang.desa.id,107.784725,-7.003098,Rancaekek,Bandung,Jawa Barat
BOJONGSALAM,bojongsalam.desa.id,107.803112,-6.993878,Rancaekek,Bandung,Jawa Barat
CANGKUANG,cangkuang.desa.id,107.792339,-6.972774,Rancaekek,Bandung,Jawa Barat
NANJUNGMEKAR,nanjungmekar.desa.id,107.808479,-6.970665,Rancaekek,Bandung,Jawa Barat
NEGLASARI,neglasari-majalaya.desa.id,107.720121,-7.078719,Majalaya,Bandung,Jawa Barat
WANGISAGARA,wangisagara.desa.id,107.737019,-7.07597,Majalaya,Bandung,Jawa Barat
PADAMULYA,padamulya.desa.id,107.742777,-7.05836,Majalaya,Bandung,Jawa Barat
SUKAMUKTI,sukamukti.desa.id,107.734641,-7.063912,Majalaya,Bandung,Jawa Barat
PADAULUN,padaulun.desa.id,107.727985,-7.054971,Majalaya,Bandung,Jawa Barat
BIRU,biru.desa.id,107.71909,-7.056324,Majalaya,Bandung,Jawa Barat
SUKAMAJU,,107.743446,-7.05397,Majalaya,Bandung,Jawa Barat
MAJASETRA,majasetra.desa.id,107.747016,-7.042592,Majalaya,Bandung,Jawa Barat
MAJALAYA,,107.750561,-7.058031,Majalaya,Bandung,Jawa Barat
MAJAKERTA,,107.76288,-7.041468,Majalaya,Bandung,Jawa Barat
BOJONG,,107.767288,-7.039586,Majalaya,Bandung,Jawa Barat
PANYADAP,panyadap.desa.id,107.759487,-7.032269,Solokan Jeruk,Bandung,Jawa Barat
PADAMUKTI,padamukti.desa.id,107.761844,-7.016687,Solokan Jeruk,Bandung,Jawa Barat
CIBODAS,cibodas-solokanjeruk.desa.id,107.752544,-7.023706,Solokan Jeruk,Bandung,Jawa Barat
LANGENSARI,langensari.desa.id,107.745437,-7.016889,Solokan Jeruk,Bandung,Jawa Barat
SOLOKANJERUK,solokanjeruk.desa.id,107.734172,-7.013142,Solokan Jeruk,Bandung,Jawa Barat
RANCAKASUMBA,rancakasumba.desa.id,107.728275,-7.025259,Solokan Jeruk,Bandung,Jawa Barat
BOJONGEMAS,bojongemas.desa.id,107.713123,-7.00311,Solokan Jeruk,Bandung,Jawa Barat
BABAKAN,babakan-ciparay.desa.id,107.68993,-7.074324,Ciparay,Bandung,Jawa Barat
CIKONENG,cikoneng-ciparay.desa.id,107.706272,-7.075108,Ciparay,Bandung,Jawa Barat
SAGARACIPTA,sagaracipta.desa.id,107.704338,-7.064206,Ciparay,Bandung,Jawa Barat
PAKUTANDANG,pakutandang.desa.id,107.700985,-7.047443,Ciparay,Bandung,Jawa Barat
MANGGUNGHARJA,manggungharja.desa.id,107.710697,-7.043444,Ciparay,Bandung,Jawa Barat
MEKARSARI,mekarsari-ciparay.desa.id,107.723724,-7.032727,Ciparay,Bandung,Jawa Barat
CIPARAY,ciparay.desa.id,107.711258,-7.029027,Ciparay,Bandung,Jawa Barat
SUMBERSARI,sumbersari-ciparay.desa.id,107.696037,-7.011453,Ciparay,Bandung,Jawa Barat
SARIMAHI,sarimahi.desa.id,107.701765,-7.024256,Ciparay,Bandung,Jawa Barat
SERANGMEKAR,serangmekar.desa.id,107.691921,-7.02447,Ciparay,Bandung,Jawa Barat
GUNUNGLEUTIK,,107.697513,-7.03891,Ciparay,Bandung,Jawa Barat
CIHEULANG,ciheulang.desa.id,107.686531,-7.031549,Ciparay,Bandung,Jawa Barat
MEKARLAKSANA,,107.686531,-7.031549,Ciparay,Bandung,Jawa Barat
BUMIWANGI,bumiwangi.desa.id,107.686531,-7.031549,Ciparay,Bandung,Jawa Barat
MALAKASARI,malakasari.desa.id,107.606239,-7.081892,Baleendah,Bandung,Jawa Barat
BOJONGMALAKA,bojongmalaka.desa.id,107.616481,-6.998034,Baleendah,Bandung,Jawa Barat
RANCAMANYAR,rancamanyar.desa.id,107.599928,-6.994849,Baleendah,Bandung,Jawa Barat
BATUKARUT,batukarut.desa.id,107.609424,-7.067591,Arjasari,Bandung,Jawa Barat
MANGUNJAYA,mangunjaya.desa.id,107.623088,-7.097001,Arjasari,Bandung,Jawa Barat
MEKARJAYA,mekarjaya-arjasari.desa.id,107.630008,-7.095989,Arjasari,Bandung,Jawa Barat
BAROS,,107.626837,-7.083952,Arjasari,Bandung,Jawa Barat
LEBAKWANGI,lebakwangi.desa.id,107.613235,-7.061639,Arjasari,Bandung,Jawa Barat
WARGALUYU,,107.617038,-7.061639,Arjasari,Bandung,Jawa Barat
ARJASARI,arjasari-bandung.desa.id,107.638397,-7.084083,Arjasari,Bandung,Jawa Barat
PINGGIRSARI,pinggirsari.desa.id,107.654716,-7.081385,Arjasari,Bandung,Jawa Barat
PATROLSARI,patrolsari.desa.id,107.672443,-7.05484,Arjasari,Bandung,Jawa Barat
RANCAKOLE,rancakole-arjasari.desa.id,107.675644,-7.069035,Arjasari,Bandung,Jawa Barat
ANCOLMEKAR,ancolmekar.desa.id,107.665797,-7.094988,Arjasari,Bandung,Jawa Barat
MEKARJAYA,mekarjaya-banjaran.desa.id,107.600357,-7.093495,Banjaran,Bandung,Jawa Barat
BANJARAN WETAN,banjaranwetan.desa.id,107.602642,-7.070993,Banjaran,Bandung,Jawa Barat
CIAPUS,ciapus.desa.id,107.595638,-7.071829,Banjaran,Bandung,Jawa Barat
SINDANGPANON,sindangpanon.desa.id,107.584307,-7.079154,Banjaran,Bandung,Jawa Barat
NEGLASARI,neglasari.desa.id,107.575061,-7.059199,Banjaran,Bandung,Jawa Barat
MARGAHURIP,margahurip.desa.id,107.565929,-7.053062,Banjaran,Bandung,Jawa Barat
KIANGROKE,kiangroke.desa.id,107.568569,-7.046427,Banjaran,Bandung,Jawa Barat
KAMASAN,kamasan-banjaran.desa.id,107.577522,-7.050468,Banjaran,Bandung,Jawa Barat
BANJARAN,banjaran.desa.id,107.593995,-7.061434,Banjaran,Bandung,Jawa Barat
TARAJUSARI,tarajusari.desa.id,107.585529,-7.038923,Banjaran,Bandung,Jawa Barat
PASIRMULYA,pasirmulya.desa.id,107.585529,-7.038923,Banjaran,Bandung,Jawa Barat
JATISARI,,107.545672,-7.064366,Cangkuang,Bandung,Jawa Barat
NAGRAK,,107.5485,-7.055323,Cangkuang,Bandung,Jawa Barat
BANDASARI,,107.530369,-7.071956,Cangkuang,Bandung,Jawa Barat
PANANJUNG,pananjung.desa.id,107.52869,-7.06391,Cangkuang,Bandung,Jawa Barat
CILUNCAT,ciluncat.desa.id,107.550179,-7.039744,Cangkuang,Bandung,Jawa Barat
CANGKUANG,cangkuang.desa.id,107.560412,-7.037726,Cangkuang,Bandung,Jawa Barat
TANJUNGSARI,,107.575811,-7.03711,Cangkuang,Bandung,Jawa Barat
BOJONGMANGGU,bojongmanggu.desa.id,107.616562,-7.046954,Pameungpeuk,Bandung,Jawa Barat
LANGONSARI,langonsari.desa.id,107.60434,-7.20245,Pameungpeuk,Bandung,Jawa Barat
SUKASARI,sukasari.desa.id,107.596081,-7.035871,Pameungpeuk,Bandung,Jawa Barat
RANCAMULYA,rancamulya.desa.id,107.602676,-7.01495,Pameungpeuk,Bandung,Jawa Barat
RANCATUNGKU,rancatungku.desa.id,107.58881,-7.020839,Pameungpeuk,Bandung,Jawa Barat
BOJONGKUNCI,bojongkunci.desa.id,107.57407,-7.01963,Pameungpeuk,Bandung,Jawa Barat
GANDASARI,,107.553287,-7.024953,Katapang,Bandung,Jawa Barat
KATAPANG,katapang.desa.id,107.549705,-7.006043,Katapang,Bandung,Jawa Barat
CILAMPENI,,107.555614,-6.98837,Katapang,Bandung,Jawa Barat
PANGAUBAN,pangauban-katapang.desa.id,107.559635,-6.999519,Katapang,Bandung,Jawa Barat
BANYUSARI,banyusari.desa.id,107.5606,-7.018394,Katapang,Bandung,Jawa Barat
SANGKANHURIP,sangkanhurip.desa.id,107.571258,-6.999658,Katapang,Bandung,Jawa Barat
SUKAMUKTI,sukamukti-katapang.desa.id,107.583191,-7.003435,Katapang,Bandung,Jawa Barat
SADU,sadu.desa.id,107.510139,-7.03466,Soreang,Bandung,Jawa Barat
SUKAJADI,sukajadi.desa.id,107.511959,-7.065642,Soreang,Bandung,Jawa Barat
SUKANAGARA,sukanagara.desa.id,107.519054,-7.067275,Soreang,Bandung,Jawa Barat
PANYIRAPAN,panyirapan.desa.id,107.522903,-7.050087,Soreang,Bandung,Jawa Barat
KARAMATMULYA,karamatmulya.desa.id,107.516823,-7.041206,Soreang,Bandung,Jawa Barat
SOREANG,soreang.desa.id,107.530605,-7.038333,Soreang,Bandung,Jawa Barat
PAMEKARAN,pamekaran.desa.id,107.526705,-7.025026,Soreang,Bandung,Jawa Barat
PARUNGSERAB,prungserab.desa.id,107.526705,-7.025026,Soreang,Bandung,Jawa Barat
SEKARWANGI,sekarwangi.desa.id,107.526705,-7.025026,Soreang,Bandung,Jawa Barat
CINGCIN,cingcin.desa.id,107.526705,-7.025026,Soreang,Bandung,Jawa Barat
CILAME,cilame.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
BUNINAGARA,buninagara.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
PADASUKA,padasuka.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
SUKAMULYA,sukamulya.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
KUTAWARINGIN,kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
KOPO,kopo.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
CIBODAS,cibodas-kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
JATISARI,jatisari-kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
JELEGONG,jelegong-kutawaringin.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
GAJAHMEKAR,gajahmekar.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
PAMEUNTASAN,pameuntasan.desa.id,107.503917,-7.024973,Kutawaringin,Bandung,Jawa Barat
NANJUNG,nanjung.desa.id,107.543869,-6.954384,Margaasih,Bandung,Jawa Barat
MEKAR RAHAYU,mekarrahayu.desa.id,107.558185,-6.975428,Margaasih,Bandung,Jawa Barat
RAHAYU,rahayu.desa.id,107.565995,-6.962049,Margaasih,Bandung,Jawa Barat
CIGONDEWAH HILIR,cigondewahhilir.desa.id,107.558666,-6.957755,Margaasih,Bandung,Jawa Barat
MARGAASIH,margaasih.desa.id,107.554805,-6.944483,Margaasih,Bandung,Jawa Barat
LAGADAR,lagadar.desa.id,107.541564,-6.933812,Margaasih,Bandung,Jawa Barat
SUKAMENAK,sukamenak.desa.id,107.585029,-6.975129,Margahayu,Bandung,Jawa Barat
SAYATI,sayati.desa.id,107.57883,-6.974401,Margahayu,Bandung,Jawa Barat
MARGAHAYU SELATAN,margahayuselatan.desa.id,107.57302,-6.978427,Margahayu,Bandung,Jawa Barat
MARGAHAYU TENGAH,margahayutengah.desa.id,107.5685216,-6.9599938,Margahayu,Bandung,Jawa Barat
CANGKUANG KULON,cangkuangkulon.desa.id,107.594402,-6.97603,Dayeuhkolot,Bandung,Jawa Barat
CANGKUANG WETAN,cangkuangwetan.desa.id,107.604339,-6.974978,Dayeuhkolot,Bandung,Jawa Barat
